	T	rho	B2	P_virial	Sk0	kappa	P_kappa	mu	s2	Sk_max
90	1.0	0.91	3.62957607331	23.9779813151	0.0168567154666	0.0185238631501	16.2311424541	40.4159759358	-0.472773945284	2.79551093401
91	1.0	0.92	3.62957607331	24.9885253892	0.0163572006111	0.0177795658817	16.8334359205	41.662687567	-0.484721282284	2.83343059788
92	1.0	0.93	3.62957607331	26.0343673147	0.0158752366711	0.0170701469582	17.4540676316	42.9393575939	-0.496867279052	2.87426963051
93	1.0	0.94	3.62957607331	27.1164843851	0.01541010744	0.0163937313192	18.0934859372	44.2465479809	-0.509213879549	2.92343796686
94	1.0	0.95	3.62957607331	28.2358732386	0.0149611303797	0.0157485582944	18.7521476551	45.5848268966	-0.521763024783	2.96620603755
95	1.0	0.96	3.62957607331	29.3935500639	0.0145276548401	0.0151329737918	19.4305181744	46.9547686451	-0.534516652772	3.00138340777
96	1.0	0.97	3.62957607331	30.5905507405	0.0141090603795	0.0145454230716	20.129071557	48.3569535941	-0.547476698851	3.05566494481
97	1.0	0.98	3.62957607331	31.8279308907	0.0137047551804	0.0139844440617	20.8482906383	49.7919681008	-0.560645096431	3.10429139666
98	1.0	0.99	3.62957607331	33.1067661441	0.0133141745585	0.0134486611702	21.5886671254	51.26040443	-0.574023776988	3.14472389926
99	1.0	1.0	3.62957607331	34.4281521224	0.0129367795523	0.0129367795523	22.3507016939	52.762860676	-0.587614671265	3.19119229577
100	1.0	1.01	3.62957607331	35.7932046324	0.0125720555955	0.0124475797975	23.1349040828	54.2999406777	-0.601419709698	3.24685094159
101	1.0	1.02	3.62957607331	37.2030597764	0.0122195112621	0.0119799130021	23.9417931871	55.8722539346	-0.615440823261	3.29376198471
102	1.0	1.03	3.62957607331	38.6588739869	0.0118786770818	0.0115326961959	24.7718971485	57.4804155256	-0.629679944668	3.33037984241
103	1.0	1.04	3.62957607331	40.1618242422	0.0115491044227	0.0111049080987	25.6257534441	59.1250460225	-0.644139008898	3.39267260715
104	1.0	1.05	3.62957607331	41.7131080946	0.0112303644345	0.0106955851757	26.5039089732	60.8067714109	-0.658819954526	3.44748836076
105	1.0	1.06	3.62957607331	43.3139438085	0.0109220470512	0.0103038179729	27.4069201411	62.5262230098	-0.673724724641	3.49131104053
106	1.0	1.07	3.62957607331	44.9655703908	0.0106237600479	0.00992874770836	28.3353529422	64.2840373985	-0.688855268223	3.54009714657
107	1.0	1.08	3.62957607331	46.6692477971	0.0103351281512	0.009569563103	29.28978304	66.0808563407	-0.704213540825	3.60444067472
108	1.0	1.09	3.62957607331	48.4262569646	0.0100557921967	0.00922549742816	30.2707958455	67.9173267196	-0.719801505966	3.65720347512
109	1.0	1.1	3.62957607331	50.2378999165	0.00978540833336	0.0088958257576	31.2789865937	69.7941004755	-0.735621136215	3.69638031175
110	1.0	1.11	3.62957607331	52.105499935	0.00952364727262	0.00857986240777	32.3149604184	71.7118345465	-0.751674413987	3.76261672074
111	1.0	1.12	3.62957607331	54.0304015578	0.00927019357602	0.00827695855002	33.3793324255	73.6711908222	-0.767963333046	3.82629544093
112	1.0	1.13	3.62957607331	56.0139708058	0.00902474498397	0.00798649998581	34.4727277639	75.6728360957	-0.784489898997	3.87564488558
113	1.0	1.14	3.62957607331	58.0575952379	0.00878701177998	0.00770790507016	35.5957816961	77.7174420287	-0.801256130472	3.9193945542
114	1.0	1.15	3.62957607331	60.1626840785	0.00855671618937	0.00744062277337	36.749139667	79.8056851214	-0.818264059952	3.9961670313
115	1.0	1.16	3.62957607331	62.3306683922	0.00833359181113	0.00718413087167	37.9334573714	81.9382466885	-0.835515734334	4.05809500644
116	1.0	1.17	3.62957607331	64.5630011623	0.00811738307969	0.00693793425614	39.1494008211	84.115812846	-0.853013215838	4.1025507887
117	1.0	1.18	3.62957607331	66.8611574945	0.0079078447568	0.00670156335322	40.397646411	86.3390745016	-0.870758582311	4.16364222138
118	1.0	1.19	3.62957607331	69.2266347255	0.00770474144956	0.00647457264669	41.6788809843	88.6087273554	-0.888753927868	4.24079383813
